"id","y_2007","y_2008","y_2009","y_2010","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"37063001304",113,78,49,26,33,42,62,40,50,43,45,48,71,72,78,15
"37063001808",,,,,,834,1043,994,1039,1239,1295,1027,1141,1868,1869,216
"37063002200",,,,,,86,144,79,82,80,106,110,136,202,178,26
"37063002009",579,376,229,156,194,172,207,189,174,223,200,205,268,254,292,44
"37063002026",,,,,,329,351,221,255,329,296,292,535,523,623,169
"37063002021",,,,,,242,233,163,154,188,147,158,220,305,331,65
"37063001710",492,275,229,207,224,229,252,181,194,222,191,239,217,277,338,46
"37063002022",,,,,,268,266,154,235,214,190,191,266,366,378,54
"37063001711",204,103,101,81,69,111,165,119,121,113,97,109,150,162,201,36
"37063002023",,,,,,191,191,121,130,125,102,141,129,241,231,29
"37063001400",139,76,37,23,25,38,38,30,39,26,32,37,47,64,96,10
"37063001801",1044,817,595,587,476,481,539,401,464,555,420,473,554,631,731,127
"37063001501",,2,,1,3,2,4,,1,2,7,,2,,,
"37063000101",344,233,172,125,124,120,182,126,135,173,178,169,231,301,344,62
"37063001502",51,34,14,32,26,33,21,24,32,32,39,13,27,54,66,
"37063001706",294,198,333,235,253,335,340,283,215,221,195,216,248,421,406,52
"37063002007",471,395,470,358,371,447,392,272,338,378,303,350,402,571,635,66
"37063001708",344,381,416,295,200,304,330,196,237,291,248,272,276,300,362,45
"37063002017",440,385,566,584,477,679,534,293,367,376,286,329,479,789,761,
"37063001604",626,475,656,546,494,591,623,346,407,435,356,427,537,701,742,88
"37063001900",373,277,314,269,269,377,342,358,540,534,559,727,859,1236,1268,334
"37063001709",460,259,251,143,144,148,134,129,158,197,219,183,318,378,434,100
"37063002018",572,397,627,590,457,693,652,362,393,443,370,467,540,910,887,
"37063001601",615,456,547,420,351,446,484,350,340,446,368,424,502,612,677,91
"37063001603",755,506,666,633,589,613,571,400,468,470,441,449,566,716,810,133
"37063001707",587,366,575,495,508,484,559,355,386,440,357,431,591,778,785,
"37063001705",378,276,332,250,256,247,293,215,221,251,246,274,319,386,404,52
"37063001802",680,439,297,204,218,276,260,253,242,298,245,236,307,337,388,111
"37063002008",268,202,372,345,297,416,323,171,227,242,159,199,250,401,396,38
"37063002100",713,510,603,504,514,601,523,342,363,462,399,420,586,786,809,110
"37063002013",484,347,463,360,328,383,384,278,355,389,350,402,462,625,641,76
"37063001002",318,225,118,91,71,80,78,99,97,119,110,127,150,170,205,47
"37063001503",1,1,,,,,2,,,,,,1,1,,
"37063002015",164,149,134,134,106,114,148,93,138,145,103,100,114,195,236,24
"37063001100",140,58,26,49,33,53,56,50,65,63,95,75,99,122,147,30
"37063002016",56,45,49,35,31,47,61,42,44,73,45,55,60,95,70,
"37063001807",,,,,,681,804,597,635,735,601,665,771,872,926,
"37063001301",133,46,33,31,35,20,29,28,24,50,54,66,72,117,121,25
"37063000301",168,114,107,80,88,97,90,80,84,81,76,102,107,189,196,24
"37063001809",,,,,,404,395,227,236,265,206,268,631,928,881,218
"37063001303",141,71,54,33,31,49,53,35,53,67,91,73,102,121,150,20
"37063002019",,,,,,377,325,189,192,272,204,264,283,430,481,70
"37063002020",,,,,,980,851,490,633,678,546,652,855,1378,1336,206
"37063002025",,,,,,516,563,368,431,464,359,388,455,718,727,128
"37063002027",,,,,,364,341,273,433,506,545,581,489,837,968,
"37063001001",299,189,102,76,58,68,87,83,78,127,155,150,207,296,283,31
"37063002300",,,,,,11,5,36,45,61,48,45,54,88,101,10
"37063001806",,,,,,426,499,328,417,495,470,474,584,897,928,87
"37063000102",294,164,215,144,120,139,185,181,148,163,177,166,175,226,265,52
"37063002024",,,,,,704,734,472,639,721,559,529,658,999,974,146
"37063002028",,,,,,494,519,428,562,711,558,791,1090,1638,1665,
"37063980100",,,,,,,2,3,1,4,4,,,1,3,
"37063000200",220,174,183,162,166,162,198,155,145,193,136,186,183,295,303,31
"37063000302",237,222,288,204,221,269,234,154,165,172,108,188,223,347,345,38
"37063000401",268,182,273,252,204,237,260,137,161,211,148,163,202,280,302,17
"37063000402",69,77,101,98,77,108,83,33,41,54,61,76,68,109,107,19
"37063000500",150,65,64,42,53,82,98,78,70,99,61,120,117,156,163,22
"37063000600",259,220,297,280,247,313,312,166,234,225,177,257,322,393,457,62
"37063000700",257,193,265,218,186,261,235,171,161,219,148,150,192,338,392,42
"37063000900",172,114,29,26,25,37,45,30,57,59,60,108,138,167,185,20
